"Genre","Songs","Form Song","Link"
"alternative rock","393","Muse - Resistance","https://www.last.fm/music/Muse/_/Resistance"
"ambient","19","Mauro Picotto - Adiemus","https://www.last.fm/music/Mauro+Picotto/_/Adiemus"
"blues","11","Leonard Cohen - Suzanne","https://www.youtube.com/watch?v=svitEEpI07E"
"classic rock","710","Dire Straits - Sultans of Swing","https://www.last.fm/music/Dire+Straits/_/Sultans+of+Swing"
"classical","1","Ludovico Einaudi - Nuvole Bianche","https://www.last.fm/music/Ludovico+Einaudi/_/Nuvole+Bianche"
"country","36","Toby Keith - God Love Her","https://www.last.fm/music/Toby+Keith/_/God+Love+Her"
"disco","67","Earth, Wind & Fire - Boogie Wonderland","https://www.last.fm/music/Earth,+Wind+&+Fire/_/Boogie+Wonderland"
"edm","33","Avicii - Hey Brother","https://www.last.fm/music/Avicii/_/Hey+Brother"
"electronic","84","Jean Michel Jarre - Oxygene, Pt 4","https://www.last.fm/music/Jean+Michel+Jarre/_/Oxygene,+Pt.+4"
"electropop","8","Owl City - Fireflies","https://www.last.fm/music/Owl+City/_/Fireflies"
"eurodance","27","Eiffel 65 - Blue","https://www.last.fm/music/Eiffel+65/_/Blue+(Da+Ba+Dee)"
"folk","28","Simon & Garfunkel - The sound of silence","https://www.youtube.com/watch?v=l0q7MLPo-u8"
"freak metal","82","El Reno Renardo - El Bogavante","https://www.last.fm/music/El+Reno+Renardo/_/El+Bogavante"
"gothic","4","Evanescence - Lithium","https://www.last.fm/music/Evanescence/_/Lithium"
"grunge","18","The Smashing Pumpkins - Bullet With Butterfly Wings","https://www.last.fm/music/The+Smashing+Pumpkins/_/Bullet+With+Butterfly+Wings+-+remastered+2012"
"hard rock","107","Scorpions - She's Knocking At My Door","https://www.youtube.com/watch?v=STJyN4RCLXs"
"hip-hop","50","Eminem - Lose Yourself","https://www.last.fm/music/Eminem/_/Lose+Yourself"
"jazz","61","Louis Armstrong - What a Wonderful World","https://www.last.fm/music/Louis+Armstrong/_/What+a+Wonderful+World"
"latin","14","Miami Sound Machine - Conga","https://www.youtube.com/watch?v=hFgXiBqGUHc"
"lo-fi","1","Grizzly Bear - Two Weeks","https://www.last.fm/music/Grizzly+Bear/_/Two+Weeks"
"metal","36","Stratovarius - 4000 Rainy Nights","https://www.last.fm/music/Stratovarius/_/4000+Rainy+Nights+(Remastered+2016)"
"new age","2","Sally Oldfield - Mirrors","https://www.last.fm/music/Sally+Oldfield/_/Mirrors"
"new wave","234","Alphaville - Forever Young","https://www.last.fm/music/Alphaville/_/Forever+Young"
"oldies","584","The Foundations - Build Me Up Buttercup","https://www.last.fm/music/The+Foundations/_/Build+Me+up+Buttercup"
"other","39","Where exiled song come to die","https://www.last.fm/tag/other"
"pop","1015","Coldplay - The Hardest Part","https://www.last.fm/music/Coldplay/_/The+Hardest+Part"
"psychedelic","2","? and The Mysterians - 96 Tears","https://www.last.fm/music/%3F+and+the+Mysterians/_/96+Tears"
"punk","92","The Offspring - Pretty Fly","https://www.last.fm/music/The+Offspring/_/Pretty+Fly+(For+a+White+Guy)"
"reggae","25","Eddy Grant - Gimme Hope Jo'anna","https://www.last.fm/music/Eddy+Grant/_/Gimme+Hope+Jo%27anna"
"rock","104","Men at Work - Down Under","https://www.youtube.com/watch?v=hfmxO-HQ5rU"
"rockabilly","5","The Baseballs - Umbrella","https://www.last.fm/music/The+Baseballs/_/Umbrella"
"ska","5","Streetlight Manifesto - A Moment of Silence","https://www.last.fm/music/Streetlight+Manifesto/_/A+Moment+Of+Silence"
"soul","70","Roberta Flack - Killing Me Softly with his song","https://www.last.fm/music/Roberta+Flack/_/Killing+Me+Softly+With+His+Song"
"soundtrack","14","John Travolta - Greased Lightnin'","https://www.last.fm/music/John+Travolta/_/Greased+Lightnin%27"
"vocal","1","The Blanks - Hey ya!","https://www.youtube.com/watch?v=8K0EAc3abq8"
