Z,Simple,EA,EB,EC,Bed,Every
185.657,0,0,0,0,0,0
186.157,102.341,102.341,102.341,102.368,102.341,120.651
186.657,578.323,578.323,578.323,579.483,578.323,688.193
187.157,1275.193,1686.144,1275.193,1686.239,1275.537,1872.098
187.657,3798.674,4569.323,3798.674,4633.525,3869.499,5219.33
188.157,11139.331,11838.77,11139.331,11981.122,11418.702,12765.157
188.657,21829.771,22434.341,21829.771,22755.666,22413.164,24051.383
189.157,35498.124,35973.886,35498.124,36545.416,36545.44,38938.126
189.657,51613.121,53235.413,51613.121,52887.825,53867.83,57515.057
190.157,73155.715,75550.007,73155.715,74794.685,76183.317,79916.169
190.657,97914.699,101326.804,97914.699,100107.605,101955.76,106004.01
191.157,126141.324,130518.052,126141.324,128941.49,131175.803,135685.811
191.657,156387.936,162937.97,156387.936,160432.611,163430.528,168906.246
192.157,191428.635,198857.12,191428.635,196200.442,199484.824,205686.98
192.657,225003.365,237344.065,225003.365,232832.504,237507.841,246025.851
193.157,264149.37,279891.609,264149.37,274435.215,279944.401,290133.27
193.657,304758.79,325488.884,304758.79,318679.903,325304.708,338067.118
194.157,348158.181,374844.367,348158.181,366548.401,374369.293,390019.709
194.657,393154.98,427344.073,393154.98,417416.531,426632.356,446192.732
195.157,446717.617,484613.618,446717.617,474320.244,484230.211,506689.422
195.657,505139.505,546416.245,505139.505,535847.673,546379.076,571515.106
196.157,564073.506,611645.934,564073.506,600043.635,611636.448,640903.206
196.657,625794.66,680285.377,625794.66,667649.776,680389.554,714784.791
197.157,697858.925,754912.28,697858.925,742491.396,755737.242,793382.145
197.657,778161.777,835261.036,778161.777,823672.307,837059.588,876566.366
198.157,859228.746,917595.09,859228.746,906859.335,920689.653,964231.142
198.657,943958.416,1004487.404,943958.416,994174.038,1008512.063,1056366.476
199.157,1032282.577,1094931.782,1032282.577,1085172.508,1100050.467,1152932.585
199.657,1120462.402,1187231.139,1120462.402,1177655.14,1193405.788,1253895.533
200.157,1214989.236,1286110.714,1214989.236,1276457.31,1293026.539,1359580.745
200.657,1320874.045,1392322.325,1320874.045,1383682.284,1400513.991,1469963.716
201.157,1414212.965,1479392.705,1431381.319,1481220.125,1499378.637,1584795.197
201.657,1483967.771,1537599.857,1543862.612,1568405.486,1589723.79,1704499.306
202.157,1564803.982,1616109.355,1663819.357,1668805.697,1692908.432,1829639.298
202.657,1643057.363,1693334.713,1783132.655,1772929.22,1800147.2,1960594.937
203.157,1721820.716,1771487.984,1916303.806,1884628.958,1914871.568,2097800.704
203.657,1824140.493,1876513.708,2062716.846,2009458.878,2041943.772,2241879.997
204.157,1962624.534,2016903.151,2216123.587,2153168.426,2186428.16,2392838.556
204.657,2103220.549,2160336.03,2375558.158,2299416.881,2333765.501,2550485.222
205.157,2259178.324,2317973.769,2541663.217,2457725.147,2492599.993,2714760.728
205.657,2421230.475,2481641.789,2713855.09,2622144.167,2657529.654,2885527.901
206.157,2580245.758,2643695.53,2891324.513,2785868.998,2822322.857,3062730.129
206.657,2752809.52,2817329.36,3075360.532,2962506.005,2999457.452,3246381.496
207.157,2934774.055,3000393.086,3265915.813,3146713.138,3184034.033,3436425.934
207.657,3121826.67,3188931.406,3462418.198,3335769.787,3373545.053,3632779.403
208.157,3315021.241,3383537.77,3664868.801,3530958.711,3569168.982,3835392.104
208.657,3511171.996,3580979.325,3872546.01,3730541.351,3769276.583,4044217.851
209.157,3715122.924,3785617.464,4086310.003,3937966.029,3977082.703,4259239.429
209.657,3927902.864,3998985.315,4306549.309,4153041.499,4192421.396,4480411.167
210.157,4148085.937,4219880.854,4533083.639,4374658.988,4414266.76,4707677.15
210.657,4371002.412,4444133.717,4764853.196,4599267.384,4639280.504,4940978.093
211.157,4598335.256,4672946.377,5002085.984,4828616.66,4869095.101,5180293.333
211.657,4833672.685,4909246.739,5245437.73,5065820.721,5106628.726,5425590.83
212.157,5071393.049,5147769.83,5493351.101,5306809.447,5348031.721,5676827.343
212.657,5313487.435,5391008.894,5746757.246,5552179.864,5593899.088,5934006.751
213.157,5556588.338,5635337.794,6004320.462,5800060.087,5842425.348,6197114.879
