Z,Simple,EA,EC,Bed,Every
185.657,0,0,0,0,0
185.907,12.253,12.253,12.606,12.253,13.986
186.157,102.341,102.341,102.368,102.341,120.651
186.407,298.938,298.938,299.062,298.938,345.1
186.657,578.323,578.323,579.483,578.323,688.193
186.907,1082.778,1082.778,1083.455,1082.778,1206.148
187.157,1275.193,1686.144,1686.239,1275.537,1872.098
187.407,1650.274,2500.199,2517.655,1656.27,3000.492
187.657,3798.674,4569.323,4633.525,3869.499,5219.33
187.907,7021.362,7777.15,7889.043,7197.923,8505.481
188.157,11139.331,11838.77,11981.122,11418.702,12765.157
188.407,16092.141,16736.714,16943.979,16507.149,17951.938
188.657,21829.771,22434.341,22755.666,22413.164,24051.383
188.907,28246.883,28868.73,29275.862,28947.454,31040.57
189.157,35498.124,35973.886,36545.416,36545.44,38938.126
189.407,42772.088,44103.53,43972.569,44960.535,47746.185
189.657,51613.121,53235.413,52887.825,53867.83,57515.057
189.907,61904.8,63961.453,63358.255,64577.53,68248.056
190.157,73155.715,75550.007,74794.685,76183.317,79916.169
190.407,85095.662,88011.041,86993.453,88625.217,92505.207
190.657,97914.699,101326.804,100107.605,101955.76,106004.01
190.907,111537.411,115470.364,114043.106,116105.237,120397.792
191.157,126141.324,130518.052,128941.49,131175.803,135685.811
191.407,140849.241,146296.171,144238.426,146864.122,151852.899
191.657,156387.936,162937.97,160432.611,163430.528,168906.246
191.907,173256.028,180471.752,177774.847,180986.857,186860.301
192.157,191428.635,198857.12,196200.442,199484.824,205686.98
192.407,208164.297,217714.527,214222.858,218142.37,225394.913
192.657,225003.365,237344.065,232832.504,237507.841,246025.851
192.907,243802.048,258137.274,253026.155,258198.103,267602.302
193.157,264149.37,279891.609,274435.215,279944.401,290133.27
193.407,283676.289,302111.34,295891.45,302018.995,313612.853
193.657,304758.79,325488.884,318679.903,325304.708,338067.118
193.907,326589.043,349851.388,342410.23,349556.073,363542.272
194.157,348158.181,374844.367,366548.401,374369.293,390019.709
194.407,368795.485,400955.51,391139.004,399911.158,417566.298
194.657,394299.924,428926.231,418501.017,427647.385,446181.774
