Z,Simple,BA,BB,BC,BD,BE,Bed,Every
0,0,0,0,0,0,0,0,0
0.05,0.566,0.566,0.574,0.566,0.566,0.574,0.582,0.582
0.1,1.751,1.751,1.797,1.751,1.751,1.798,1.847,1.847
0.15,3.356,3.356,3.486,3.358,3.358,3.489,3.63,3.63
0.2,5.29,5.29,5.558,5.297,5.297,5.568,5.863,5.863
0.25,7.496,7.496,7.96,7.511,7.511,7.981,8.504,8.504
0.3,9.931,9.931,10.653,9.957,9.957,10.692,11.524,11.524
0.35,12.562,12.562,13.607,12.605,12.605,13.672,14.899,14.899
0.4,15.365,15.365,16.795,15.428,15.428,16.898,18.613,18.613
0.45,18.318,18.318,20.198,18.408,18.408,20.351,22.65,22.65
0.5,21.404,21.404,23.798,21.526,21.526,24.014,26.998,26.998
0.55,24.609,24.609,27.579,24.768,24.768,27.874,31.646,31.646
0.6,27.92,27.92,31.528,28.122,28.122,31.92,36.585,36.585
0.65,31.327,31.327,35.633,31.579,31.579,36.14,41.806,41.806
0.7,34.821,34.821,39.883,35.128,35.128,40.526,47.302,47.302
0.75,38.393,38.393,44.268,38.762,38.762,45.069,53.067,53.067
0.8,42.038,42.038,48.78,42.473,42.473,49.762,59.093,59.093
0.85,45.748,45.748,53.412,46.256,46.256,54.599,65.376,65.376
0.9,49.518,49.518,58.155,50.105,50.105,59.573,71.91,71.91
0.95,53.344,53.344,63.004,54.015,54.015,64.68,78.691,78.691
1,57.221,57.221,67.953,57.982,57.982,69.914,85.714,85.714
1.05,61.146,61.146,72.996,62.001,62.001,75.27,92.976,92.976
1.1,65.114,65.114,78.127,66.07,66.07,80.746,100.471,100.471
1.15,69.123,69.123,83.343,70.184,70.184,86.337,108.197,108.197
1.2,73.17,73.17,88.64,74.341,74.341,92.039,116.151,116.151
1.25,77.253,77.253,94.012,78.538,78.538,97.849,124.328,124.328
1.3,81.368,81.368,99.456,82.772,82.772,103.765,132.727,132.727
1.35,85.514,85.514,104.969,87.042,87.042,109.783,141.344,141.344
1.4,89.689,89.689,110.548,91.346,91.346,115.901,150.176,150.176
1.45,93.891,93.891,116.19,95.68,95.68,122.117,159.221,159.221
1.5,98.118,98.118,121.89,100.044,100.044,128.428,168.476,168.476
1.55,102.37,102.37,127.648,104.437,104.437,134.832,177.94,177.94
1.6,106.644,106.644,133.461,108.855,108.855,141.327,187.609,187.609
1.65,110.939,110.939,139.325,113.299,113.299,147.911,197.482,197.482
1.7,115.254,115.254,145.24,117.766,117.766,154.583,207.556,207.556
1.75,119.589,119.589,151.202,122.255,122.255,161.341,217.829,217.829
1.8,123.941,123.941,157.211,126.767,126.767,168.183,228.301,228.301
1.85,128.31,128.31,163.263,131.298,131.298,175.107,238.968,238.968
1.9,132.695,132.695,169.357,135.849,135.849,182.113,249.829,249.829
1.95,137.096,137.096,175.493,140.418,140.418,189.199,260.882,260.882
2,141.511,141.511,181.667,145.004,145.004,196.364,272.126,272.126
2.05,157.997,157.997,196.224,161.401,161.401,210.984,284.851,284.851
2.1,175.003,175.003,211.795,178.333,178.333,226.656,299.216,299.216
2.15,192.496,192.496,228.156,195.766,195.766,243.152,314.797,314.797
2.2,210.447,210.447,245.2,213.669,213.669,260.365,331.402,331.402
2.25,228.831,228.831,262.853,232.015,232.015,278.219,348.905,348.905
2.3,247.624,247.624,281.061,250.778,250.778,296.659,367.215,367.215
2.35,266.801,266.801,299.777,269.935,269.935,315.637,386.261,386.261
2.4,286.345,286.345,318.965,289.465,289.465,335.116,405.982,405.982
2.45,306.234,306.234,338.59,309.347,309.347,355.062,426.33,426.33
2.5,326.452,326.452,358.626,329.565,329.565,375.446,447.265,447.265
2.55,346.983,346.983,379.046,350.1,350.1,396.242,468.748,468.748
2.6,367.811,367.811,399.828,370.938,370.938,417.427,490.75,490.75
2.65,388.922,388.922,420.952,392.063,392.063,438.982,513.241,513.241
2.7,410.302,410.302,442.399,413.463,413.463,460.886,536.198,536.198
2.75,431.941,431.941,464.152,435.125,435.125,483.124,559.599,559.599
2.8,453.825,453.825,486.197,457.036,457.036,505.68,583.422,583.422
2.85,475.945,475.945,508.518,479.186,479.186,528.538,607.651,607.651
2.9,498.289,498.289,531.104,501.565,501.565,551.688,632.268,632.268
2.95,520.849,520.849,553.94,524.162,524.162,575.115,657.26,657.26
3,543.615,543.615,577.017,546.969,546.969,598.809,682.611,682.611
3.05,566.579,566.579,600.324,569.976,569.976,622.76,708.31,708.31
3.1,589.732,589.732,623.851,593.176,593.176,646.957,734.345,734.345
3.15,613.068,613.068,647.588,616.56,616.56,671.391,760.706,760.706
3.2,636.579,636.579,671.528,640.123,640.123,696.055,787.381,787.381
3.25,660.258,660.258,695.661,663.856,663.856,720.94,814.363,814.363
3.3,684.099,684.099,719.981,687.753,687.753,746.038,841.642,841.642
3.35,708.096,708.096,744.481,711.808,711.808,771.343,869.211,869.211
3.4,732.243,732.243,769.153,736.016,736.016,796.848,897.062,897.062
3.45,756.534,756.534,793.991,760.37,760.37,822.547,925.188,925.188
3.5,780.964,780.964,818.989,784.865,784.865,848.433,953.583,953.583
3.55,805.529,805.529,844.142,809.497,809.497,874.501,982.24,982.24
3.6,830.223,830.223,869.443,834.26,834.26,900.746,1011.154,1011.154
3.65,855.042,855.042,894.889,859.15,859.15,927.164,1040.32,1040.32
3.7,879.982,879.982,920.473,884.163,884.163,953.748,1069.731,1069.731
3.75,905.039,905.039,946.192,909.294,909.294,980.495,1099.384,1099.384
3.8,930.208,930.208,972.04,934.54,934.54,1007.4,1129.273,1129.273
3.85,955.487,955.487,998.014,959.897,959.897,1034.46,1159.395,1159.395
3.9,980.871,980.871,1024.109,985.36,985.36,1061.67,1189.745,1189.745
3.95,1006.357,1006.357,1050.323,1010.927,1010.927,1089.027,1220.32,1220.32
4,1031.942,1031.942,1076.65,1036.595,1036.595,1116.527,1251.115,1251.115
4.05,1057.622,1060.993,1103.088,1062.36,1065.218,1145.831,1282.128,1283.791
4.1,1083.395,1090.263,1129.633,1088.219,1094.073,1175.372,1313.354,1316.782
4.15,1109.258,1119.748,1156.282,1114.169,1123.157,1205.148,1344.791,1350.086
4.2,1135.208,1149.443,1183.031,1140.208,1152.467,1235.156,1376.436,1383.698
4.25,1161.243,1179.346,1209.879,1166.333,1182.002,1265.394,1408.285,1417.617
4.3,1187.36,1209.451,1236.822,1192.542,1211.758,1295.859,1440.337,1451.839
4.35,1213.556,1239.755,1263.858,1218.831,1241.733,1326.548,1472.588,1486.363
4.4,1239.829,1270.256,1290.983,1245.198,1271.926,1357.459,1505.035,1521.185
