Z,Simple,Single,Frugal,Over,Super,Bed,Every
4.43,0,0,0,0,0,0,0
4.48,0.433,0.433,0.433,0.433,0.433,0.433,0.51
4.53,2.322,2.322,2.322,2.322,2.322,2.322,2.541
4.58,5.717,5.717,5.717,5.717,5.717,5.717,6.197
4.63,10.019,10.019,10.019,10.019,10.019,10.019,11.239
4.68,15.672,15.672,15.672,15.672,15.672,15.672,17.631
4.73,23.631,23.631,23.631,23.631,23.631,23.631,25.858
4.78,33.345,33.345,33.345,33.345,33.345,33.345,35.864
4.83,43.853,43.853,43.853,43.853,43.853,43.853,47.119
4.88,54.58,54.58,54.58,54.58,54.58,54.58,60.178
4.93,65.708,65.708,65.708,65.708,65.708,65.708,74.633
4.98,79.603,79.603,79.603,79.603,79.603,79.603,90.88
5.03,96.54,96.54,96.54,96.54,96.54,96.54,109.187
5.08,114.076,114.076,114.076,114.076,114.076,114.076,129.509
5.13,132.11,132.11,132.11,132.11,132.11,132.11,151.452
5.18,153.494,153.494,153.494,153.494,153.494,153.494,175.73
5.23,175.427,175.427,175.427,175.427,175.427,175.427,201.929
5.28,197.829,197.829,197.829,197.829,197.829,197.829,230.121
5.33,223.871,223.871,223.871,223.871,223.871,223.871,260.63
5.38,253.787,253.787,253.787,253.787,253.787,253.787,293.719
5.43,284.35,284.35,284.35,284.35,284.35,284.35,328.927
5.48,292.754,292.754,292.754,292.754,307.119,292.754,366.892
5.53,314.625,314.625,314.625,314.625,333.678,314.625,408.173
5.58,343.037,343.037,343.037,343.037,364.622,343.037,453.318
5.63,388.294,388.294,388.294,388.294,411.044,388.294,502.461
5.68,434.792,434.792,434.792,434.792,459.164,434.792,555.164
5.73,488.116,488.116,488.116,488.116,513.809,488.116,611.874
5.78,544.646,544.646,544.646,544.646,571.108,544.646,672.599
5.83,607.301,607.301,607.301,607.301,637.549,608.604,737.009
5.88,675.444,675.444,675.444,675.444,707.596,679.781,805.114
5.93,746.098,746.098,746.098,746.098,780.679,754.072,876.639
5.98,819.171,819.171,819.171,819.171,856.702,831.413,951.466
6.03,894.577,894.577,894.577,894.577,935.579,911.745,1029.494
6.08,972.234,972.234,972.234,972.234,1017.234,995.014,1110.636
6.13,1052.067,1052.067,1052.067,1052.067,1101.597,1081.168,1194.818
6.18,1134.006,1134.006,1134.006,1134.006,1188.606,1170.161,1281.973
6.23,1220.22,1220.22,1220.22,1220.22,1278.36,1262.104,1372.196
6.28,1310.819,1310.819,1310.819,1310.819,1371.247,1357.398,1465.876
6.33,1406.176,1406.176,1406.176,1406.176,1468.733,1455.919,1562.875
6.38,1506.42,1506.42,1506.42,1506.42,1570.856,1558.006,1663.526
6.43,1608.93,1608.93,1608.93,1608.93,1675.785,1663.277,1767.436
6.48,1713.64,1713.64,1713.64,1713.64,1783.423,1771.524,1874.392
6.53,1820.486,1820.486,1820.486,1820.486,1893.688,1882.617,1984.257
6.58,1929.407,1929.407,1929.407,1929.407,2006.512,1996.46,2096.93
6.63,2040.347,2040.347,2040.347,2040.347,2121.834,2112.981,2212.333
6.68,2151.233,2151.233,2151.233,2151.233,2239.366,2231.883,2330.922
6.73,2263.845,2263.845,2263.845,2263.845,2359.266,2353.324,2452.257
6.78,2378.131,2378.131,2378.131,2378.131,2481.495,2477.264,2576.293
6.83,2491.735,2491.735,2491.735,2491.735,2604.858,2603.385,2703.599
6.88,2606.738,2606.738,2606.738,2606.738,2730.367,2731.906,2833.669
6.93,2723.098,2723.098,2723.098,2723.098,2857.989,2862.804,2966.468
6.98,2850.814,2850.814,2850.814,2850.814,2993.04,3000.296,3102.75
7.03,2980.082,2980.082,2980.082,2980.082,3130.376,3140.324,3242.367
7.08,3110.852,3110.852,3110.852,3110.852,3269.941,3282.83,3384.947
7.13,3249.255,3249.255,3249.255,3249.255,3416.189,3428.638,3530.518
7.18,3389.507,3389.507,3389.507,3389.507,3565.037,3576.973,3678.913
7.23,3531.566,3531.566,3531.566,3531.566,3716.451,3727.794,3830.067
7.28,3671.903,3674.679,3671.903,3671.903,3870.521,3880.762,3984.468
7.33,3825.194,3830.969,3825.194,3825.194,4028.943,4037.892,4141.755
7.38,3980.707,3989.709,3980.707,3980.707,4190.129,4197.586,4301.878
7.43,4138.41,4150.872,4138.41,4138.41,4354.051,4359.806,4464.8
7.48,4298.273,4314.431,4298.273,4298.273,4520.683,4524.521,4630.488
7.53,4460.265,4480.359,4460.265,4460.265,4690,4691.697,4798.911
7.58,4624.359,4648.633,4624.359,4624.359,4861.979,4861.305,4970.039
7.63,4790.525,4819.226,4790.525,4790.525,5036.596,5033.317,5143.846
7.68,4958.737,4992.115,4958.737,4958.737,5213.83,5207.703,5320.306
7.73,5128.967,5167.277,5128.967,5128.967,5393.659,5384.44,5499.396
7.78,5301.19,5344.69,5301.19,5301.19,5576.063,5563.501,5681.092
7.83,5475.38,5524.33,5475.38,5475.38,5761.023,5744.863,5865.372
7.88,5651.513,5706.177,5651.513,5651.513,5948.519,5928.504,6052.216
7.93,5829.564,5890.208,5829.564,5829.564,6138.533,6114.401,6241.603
7.98,6009.511,6076.405,6009.511,6009.511,6331.047,6302.534,6433.513
8.03,6191.328,6264.746,6191.328,6191.328,6526.044,6492.882,6627.928
8.08,6374.995,6455.212,6374.995,6374.995,6723.506,6685.426,6824.831
8.13,6560.49,6647.783,6560.49,6560.49,6923.419,6880.146,7024.203
8.18,6747.79,6842.441,6747.79,6747.79,7125.766,7077.027,7226.027
8.23,6936.874,7039.168,6936.874,6936.874,7330.531,7276.048,7430.288
8.28,7127.723,7237.944,7127.723,7127.723,7537.7,7477.195,7636.969
8.33,7320.315,7438.753,7320.315,7320.315,7747.257,7680.449,7846.054
8.38,7514.632,7641.577,7514.632,7514.632,7959.19,7885.797,8057.53
8.43,7710.653,7846.399,7710.653,7710.653,8173.483,8093.221,8271.381
8.48,7908.36,8053.202,7908.36,7908.36,8390.124,8302.709,8487.593
8.53,8107.735,8261.97,8107.735,8107.735,8609.099,8514.244,8706.152
8.58,8308.758,8472.687,8308.758,8308.758,8830.395,8727.813,8927.046
8.63,8511.412,8685.337,8511.412,8511.412,9053.999,8943.402,9150.259
8.68,8715.68,8899.905,8715.68,8715.68,9279.9,9160.999,9375.781
8.73,8921.545,9116.376,8921.545,8921.545,9508.085,9380.59,9603.598
8.78,9128.988,9334.734,9128.988,9128.988,9738.543,9602.163,9833.698
8.83,9337.995,9554.965,9337.995,9337.995,9971.261,9825.706,10066.07
8.88,9548.548,9777.054,9548.548,9548.548,10206.23,10051.206,10300.701
8.93,9760.633,10000.987,9760.633,9760.633,10443.436,10278.653,10537.58
8.98,9425.259,10147,9497.766,9989.054,10683.475,10398.631,10777.529
9.03,9639.785,10367.365,9725.579,10220.464,10926.42,10635.32,11020.684
9.08,9855.654,10589.667,9955.308,10454.582,11172.073,10874.139,11266.797
9.13,10072.846,10813.815,10186.921,10691.281,11420.34,11115.068,11515.759
9.18,10291.344,11039.741,10420.396,10930.478,11671.158,11358.092,11767.5
9.23,10511.127,11267.394,10655.714,11172.112,11924.478,11603.192,12021.969
9.28,10732.178,11496.731,10892.855,11416.131,12180.26,11850.353,12279.122
9.33,10954.479,11727.712,11131.803,11662.494,12438.469,12099.559,12538.924
9.38,11178.012,11960.304,11372.541,11911.165,12699.075,12350.795,12801.345
9.43,11402.76,12194.474,11615.054,12162.113,12962.051,12604.047,13066.357
9.48,11628.707,12430.194,11859.326,12415.309,13227.372,12859.299,13333.936
9.53,11855.835,12667.438,12105.342,12670.727,13495.016,13116.539,13604.059
9.58,12093.606,12916.408,12354.449,12929.706,13765.838,13380.846,13877.086
9.63,12336.735,13171.398,12606.214,13191.805,14039.591,13649.368,14153.445
9.68,12581.168,13428.029,12860.018,13456.399,14315.881,13919.919,14432.774
9.73,12826.887,13686.276,13115.78,13723.402,14594.651,14192.481,14714.913
9.78,13074.987,13946.406,13374.579,13993.098,14876.145,14467.645,14999.771
9.83,13334.418,14210.845,13645.586,14268.389,15162.771,14750.325,15287.824
9.88,13595.224,14477.062,13918.559,14546.181,15451.983,15035.132,15578.955
9.93,13857.385,14745.021,14193.461,14826.419,15743.737,15322.049,15872.957
9.98,14120.884,15014.691,14470.26,15109.054,16037.994,15611.058,16169.716
